mouse_ID,group,date,phase,label,channel,window_start_s,window_end_s,source_interval_start_s,source_interval_end_s,dat_file,session,session_channel
ekez003,control,250830,mobile,0,12,260.0,262.0,258.0,270.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,mobile,0,12,262.0,264.0,258.0,270.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,mobile,0,12,264.0,266.0,258.0,270.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,mobile,0,12,266.0,268.0,258.0,270.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,immobile,1,12,726.0,728.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,immobile,1,12,728.0,730.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,immobile,1,12,730.0,732.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,immobile,1,12,732.0,734.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,immobile,1,12,734.0,736.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,immobile,1,12,736.0,738.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2385.0,2387.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2397.0,2399.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2409.0,2411.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2421.0,2423.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2433.0,2435.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2445.0,2447.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2459.0,2461.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2471.0,2473.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2483.0,2485.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2495.0,2497.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2507.0,2509.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2519.0,2521.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2531.0,2533.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2543.0,2545.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2555.0,2557.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2567.0,2569.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2579.0,2581.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2591.0,2593.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2605.0,2607.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2617.0,2619.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2629.0,2631.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2641.0,2643.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2653.0,2655.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,sleep,2,12,2665.0,2667.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch12
ekez003,control,250830,mobile,0,19,260.0,262.0,258.0,270.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,mobile,0,19,262.0,264.0,258.0,270.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,mobile,0,19,264.0,266.0,258.0,270.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,mobile,0,19,266.0,268.0,258.0,270.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,immobile,1,19,726.0,728.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,immobile,1,19,728.0,730.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,immobile,1,19,730.0,732.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,immobile,1,19,732.0,734.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,immobile,1,19,734.0,736.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,immobile,1,19,736.0,738.0,724.0,740.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,sleep,2,19,2385.0,2387.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,sleep,2,19,2397.0,2399.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,sleep,2,19,2409.0,2411.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,sleep,2,19,2421.0,2423.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,sleep,2,19,2433.0,2435.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,sleep,2,19,2445.0,2447.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,sleep,2,19,2459.0,2461.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,sleep,2,19,2471.0,2473.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
ekez003,control,250830,sleep,2,19,2483.0,2485.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19
