split,feature_set,n_folds,macro_f1_mean,macro_f1_sem,accuracy_mean,accuracy_sem
blocked_stratified_cv,all_features,5,0.8085959797355109,0.014723880341746225,0.8099999999999999,0.013635890143294636
blocked_stratified_cv,highrate_dynamics,5,0.6688965127768951,0.004328690855300969,0.6725,0.004677071733467433
blocked_stratified_cv,native_spectrum,5,0.7677043488183124,0.01916071683057624,0.77,0.017161912772182476
blocked_stratified_cv,spectrum_plus_torus,5,0.7869188100355724,0.02262008476597468,0.7875,0.022008521077073757
blocked_stratified_cv,torus_shape,5,0.6582740088573672,0.011435134943645982,0.65125,0.011924240017711828
leave_channel_out,all_features,3,0.783301800038628,0.02443414385729564,0.7862417118746232,0.027295129269585598
leave_channel_out,highrate_dynamics,3,0.633283756827554,0.037651863339950256,0.648156519991963,0.036134546997990756
leave_channel_out,native_spectrum,3,0.7464590763106421,0.019712324901110186,0.7498241912798874,0.020925669376622356
leave_channel_out,spectrum_plus_torus,3,0.7858141572723895,0.023642188712240646,0.7892806911794253,0.02560902549731654
leave_channel_out,torus_shape,3,0.6240367996105564,0.04545254207984657,0.6379847297568816,0.039272982331501484
leave_day_out_ekez003,all_features,4,0.6224286806749241,0.0448154228591249,0.6740368097955751,0.06031168660484269
leave_day_out_ekez003,highrate_dynamics,4,0.5551753520676724,0.04480630204602357,0.6083600622432703,0.06124916982788703
leave_day_out_ekez003,native_spectrum,4,0.5687344615344105,0.04106568814007821,0.6291227376093236,0.06552767363378094
leave_day_out_ekez003,spectrum_plus_torus,4,0.607942299443361,0.04850007340426958,0.6631807262032559,0.06417529208368038
leave_day_out_ekez003,torus_shape,4,0.5592365392643591,0.03726362487128529,0.6049426137090572,0.04644471432689093
leave_day_out_ekez004,all_features,4,0.6754465386602118,0.07297494877455117,0.7092572465333898,0.05743616480709377
leave_day_out_ekez004,highrate_dynamics,4,0.5986676095199616,0.057135035932144106,0.6031933385027405,0.06884263081238283
leave_day_out_ekez004,native_spectrum,4,0.6463536031197556,0.06299154495649413,0.7026046702054057,0.05094823783851626
leave_day_out_ekez004,spectrum_plus_torus,4,0.683143247729868,0.06900990094534601,0.7217085955593311,0.05925599848255068
leave_day_out_ekez004,torus_shape,4,0.60085451708037,0.08218842655682773,0.6140305854188969,0.0791552925852279
leave_mouse_out,all_features,2,0.5666981806726388,0.04256107858662056,0.6028260403260404,0.08298477048477047
leave_mouse_out,highrate_dynamics,2,0.5281622271200481,0.04055512701294797,0.5601404976404976,0.09188652938652937
leave_mouse_out,native_spectrum,2,0.5260171662889755,0.06715966882334345,0.5720720720720721,0.11373873873873876
leave_mouse_out,spectrum_plus_torus,2,0.5533384098667109,0.07240370942379548,0.5938170313170313,0.1156424281424281
leave_mouse_out,torus_shape,2,0.5459947838014247,0.029713547130786774,0.5786947661947661,0.0767106392106392
leave_session_out,all_features,6,0.675838634889354,0.04727777168362941,0.7252592857110306,0.036854938302148976
leave_session_out,highrate_dynamics,6,0.5985836182028182,0.03972556293783698,0.629631247631523,0.0462833886120968
leave_session_out,native_spectrum,6,0.6430002688797327,0.04656107573330029,0.7038089135986597,0.038123948831529246
leave_session_out,spectrum_plus_torus,6,0.6770669805296182,0.04424880463438534,0.7294956116729275,0.037108749877743735
leave_session_out,torus_shape,6,0.5965475321940353,0.057775448056996824,0.6245589695595385,0.05511227098440372
