mouse_ID,group,date,phase,good_Ch,start_s,end_s,duration_s,dat_file,dat_file_exists,window_within_file,channels_in_tutorial_probe_order
ekez003,control,250830,sleep,"12,19",2383.0,2670.0,287.0,LFP0_250830.dat,True,True,True
ekez003,control,250830,mobile,"12,19",258.0,270.0,12.0,LFP0_250830.dat,True,True,True
ekez003,control,250830,immobile,"12,19",724.0,740.0,16.0,LFP0_250830.dat,True,True,True
ekez003,control,250906,sleep,"12,19",1261.0,1696.0,435.0,LFP0_250906.dat,True,True,True
ekez003,control,250906,mobile,"12,19",780.0,825.0,45.0,LFP0_250906.dat,True,True,True
ekez003,control,250906,immobile,"12,19",2040.0,2062.0,22.0,LFP0_250906.dat,True,True,True
ekez003,control,250909,sleep,"12,19",2114.0,2428.0,314.0,LFP0_250909.dat,True,True,True
ekez003,control,250909,mobile,"12,19",126.0,171.0,45.0,LFP0_250909.dat,True,True,True
ekez003,control,250909,immobile,"12,19",780.0,818.0,38.0,LFP0_250909.dat,True,True,True
ekez004,control,250828,sleep,"12,18,19",2280.0,2569.0,289.0,LFP0_250828.dat,True,True,True
ekez004,control,250828,mobile,"12,18,19",480.0,2400.0,1920.0,LFP0_250828.dat,True,True,True
ekez004,control,250828,immobile,"12,18,19",771.0,798.0,27.0,LFP0_250828.dat,True,True,True
ekez004,control,250829,sleep,"12,18,19",2314.0,2342.0,28.0,LFP0_250829.dat,True,True,True
ekez004,control,250829,mobile,"12,18,19",260.0,323.0,63.0,LFP0_250829.dat,True,True,True
ekez004,control,250829,immobile,"12,18,19",460.0,504.0,44.0,LFP0_250829.dat,True,True,True
ekez004,control,250911,sleep,"12,18,19",753.0,1363.0,610.0,LFP0_250911.dat,True,True,True
ekez004,control,250911,mobile,"12,18,19",82.0,98.0,16.0,LFP0_250911.dat,True,True,True
ekez004,control,250911,immobile,"12,18,19",100.0,150.0,50.0,LFP0_250911.dat,True,True,True
