split,fold,delta_macro_f1
blocked_stratified_cv,0,0.03923969649006931
blocked_stratified_cv,1,-0.002760816847339864
blocked_stratified_cv,2,0.011971501329438694
blocked_stratified_cv,3,0.023599816270594376
blocked_stratified_cv,4,0.024022108843537393
leave_channel_out,0,0.04768634026296248
leave_channel_out,1,0.03134249744716522
leave_channel_out,2,0.03903640517511431
leave_day_out_ekez003,0,0.04250388500388502
leave_day_out_ekez003,1,-0.002811231646515533
leave_day_out_ekez003,2,0.08806106174527228
leave_day_out_ekez003,3,0.02907763653315998
leave_day_out_ekez004,0,0.02200348269818908
leave_day_out_ekez004,1,0.07751976913642322
leave_day_out_ekez004,2,0.020086907978306368
leave_day_out_ekez004,3,0.02754841862753077
leave_mouse_out,0,0.03256528417818738
leave_mouse_out,1,0.022077202977283328
leave_session_out,0,0.04250388500388502
leave_session_out,1,-0.002811231646515533
leave_session_out,2,0.08806106174527228
leave_session_out,3,0.03626316044039246
leave_session_out,4,0.07538235526329085
leave_session_out,5,-0.0349989609070126
