mouse_ID,group,date,phase,label,channel,window_start_s,window_end_s,source_interval_start_s,source_interval_end_s,dat_file,session,session_channel,qc_raw_mean,qc_raw_std,qc_raw_ptp,qc_clip_fraction,torus_fit_failed,spec_log_abs_slow,spec_rel_slow,spec_log_abs_delta,spec_rel_delta,spec_log_abs_theta,spec_rel_theta,spec_log_abs_alpha,spec_rel_alpha,spec_log_abs_sigma,spec_rel_sigma,spec_log_abs_beta,spec_rel_beta,spec_log_abs_low_gamma,spec_rel_low_gamma,spec_log_abs_high_gamma,spec_rel_high_gamma,spec_log_abs_hfo,spec_rel_hfo,ratio_theta_delta,ratio_gamma_delta,ratio_beta_delta,ratio_log10_theta_delta,ratio_log10_gamma_delta,ratio_log10_beta_delta,aperiodic_slope_2_120,aperiodic_offset_2_120,dyn_line_length,dyn_rms,dyn_ptp,dyn_autocorr_e_s,dyn_autocorr_zero_s,dyn_hjorth_mobility,torus_R1,torus_R2,torus_r,torus_mse,torus_mean_error,torus_frac_inside,torus_n_x,torus_n_y,torus_n_z,torus_u_x,torus_u_y,torus_u_z,torus_v_x,torus_v_y,torus_v_z,torus_tau_ms,torus_analysis_fs
ekez004,control,250828,mobile,0,12,2046.0,2048.0,798.0,2280.0,LFP0_250828.dat,ekez004_250828,ekez004_250828_ch12,-96.9287,762.520884249284,18765.0,0.0,0,-18.0,3.1068772129588223e-24,-18.0,3.1068772129588223e-24,4.879518580306546,0.2354196285497748,4.421627002664614,0.0820259166698304,4.165383227327139,0.0454681534633469,4.686646235298936,0.1509976975519646,4.3848230127844525,0.0753610780738882,3.925406189156541,0.0261655747581286,3.523714239959885,0.0103761998960923,235419628549.0434,101526652831.70145,150997697551.4955,11.37184267012658,11.0065800684388,11.178970325118971,-1.80383780885708,5.762839287381273,0.0443388789985464,1.3887996100397892,9.193449763437574,0.058,0.2085,0.0424402625024126,2.631760943373933,0.2819159068001276,0.0917165243974438,1.843338015930928,0.7917903226980318,0.0676352705410821,-0.4850046318457169,0.8091444227865174,-0.3317466053494958,0.5760924215547705,0.5810254508199129,0.5749147304815538,0.6579422686783796,0.0877196019815531,-0.7479420047788096,2.0,2000
ekez004,control,250828,mobile,0,12,1816.0,1818.0,798.0,2280.0,LFP0_250828.dat,ekez004_250828,ekez004_250828_ch12,10.8363,770.3614877135992,4381.0,0.0,0,-18.0,2.1461034861727595e-24,-18.0,2.1461034861727595e-24,4.988486582918059,0.208995648110892,4.623942548829267,0.0902803447556026,4.39844506357029,0.0537150177525882,4.770895955653884,0.1266329183658134,4.5145771925988045,0.0701823413546007,4.000188919311912,0.0214703725026011,3.45781487140118,0.0061583665018333,208995648110.4435,91652713857.0052,126632918365.5417,11.32013724294695,10.962145329043706,11.102546615682776,-1.928349877403014,6.083332764921494,0.0467330314642694,0.9810309837789136,5.1936018928472265,0.0295,0.075,0.0619585438259525,2.005101837104652,0.3320118261146961,0.0876490153502611,0.5251217800202643,0.5212082102299638,0.0703907815631262,0.4743095151612153,-0.8082236276518354,0.3490058044386118,-0.5736343207299606,-0.5844573452207865,-0.5738930890820582,0.6678129602713881,0.0720012452769624,-0.740838491690417,2.0,2000
ekez004,control,250828,mobile,0,18,1892.0,1894.0,798.0,2280.0,LFP0_250828.dat,ekez004_250828,ekez004_250828_ch18,49.1926,751.4818761322457,4727.0,0.0,0,-18.0,2.595781086734941e-24,-18.0,2.595781086734941e-24,4.921874407107588,0.216841533966924,4.179862212109622,0.0392762735278911,4.044316235119151,0.0287464552359077,4.4769855341956,0.0778491003292626,4.088826151550788,0.0318488837263387,3.5293544757903788,0.0087825885969821,3.090361526621415,0.0031961679363688,216841533966.3612,40631472323.215416,77849100329.06061,11.336142470877371,10.608862559719048,10.891253597965385,-2.2448121404961685,6.195158456322814,0.0353047158193717,1.0692750038539898,6.230599977619889,0.051,0.0895,0.0422979228922112,2.2566830182069184,0.2368547795588766,0.0638588836033449,0.7234344395208486,0.5867159221860428,0.0493486973947895,-0.3632226697160526,0.8109877394550457,-0.4586591094233843,0.5748395727365699,0.5824804620270743,0.5746964215746987,0.7332317217759531,-0.0549126379720741,-0.6777579541181493,2.0,2000
ekez004,control,250828,mobile,0,12,1892.0,1894.0,798.0,2280.0,LFP0_250828.dat,ekez004_250828,ekez004_250828_ch12,98.6586,801.9545098981862,4884.0,0.0,0,-18.0,2.276389958661568e-24,-18.0,2.276389958661568e-24,4.995210219522083,0.2251421871580846,4.121246955243224,0.0300949493316414,3.9790468807877577,0.0216916976317198,4.42973857974241,0.061232958201744,4.210161122090165,0.0369324214929858,3.840406067691152,0.0157635028250122,3.30375750936827,0.0045814628634723,225142187157.57208,52695924317.87819,61232958201.60466,11.352456880753865,10.72177702669823,10.78698524097419,-1.9577078580662928,5.905941923988802,0.0382163019612965,1.0063396196110517,5.77035420782366,0.0535,0.0905,0.0496636129931996,2.0038169922696087,0.2719818551428669,0.0741117780364852,0.5386746855018388,0.5054298655707385,0.0603707414829659,0.345138252378135,-0.8105189525693874,0.4732215276909871,0.5754116279158837,0.5810634059998662,0.5755577961117609,-0.7414722147206045,0.0736501577209249,0.6669292384226415,2.0,2000
ekez004,control,250828,mobile,0,18,2046.0,2048.0,798.0,2280.0,LFP0_250828.dat,ekez004_250828,ekez004_250828_ch18,-65.68745,798.7107915024671,19555.0,0.0,0,-18.0,3.0395010089361822e-24,-18.0,3.0395010089361822e-24,4.925565673995602,0.2560754625611842,4.438290233805152,0.083385881787129,4.317995387568836,0.0632117304426175,4.580373017569083,0.1156579018358983,4.13773852168755,0.0417388821452192,3.649622793657377,0.0135651651519206,3.079112527140385,0.0036468241239608,256075462560.40588,55304047296.97176,115657901835.54684,11.40836796587508,10.74275691529064,11.06317530944856,-2.1050781875491014,6.0538016755332045,0.0326831377447503,1.5577377080061707,9.905253330897098,0.0795,0.2095,0.0268748985435409,2.76632968649011,0.2120265165883534,0.0551141305028355,2.532211699699952,0.9202264186246736,0.034068136272545,0.2284932775051176,-0.7913619968566894,0.5670423371012426,-0.577558437705959,-0.5790698270087486,-0.5754167068140355,0.7837200221811919,-0.19602123705826,-0.5893713612421811,2.0,2000
ekez004,control,250828,mobile,0,19,1892.0,1894.0,798.0,2280.0,LFP0_250828.dat,ekez004_250828,ekez004_250828_ch19,-155.19555,786.6101287551523,5063.0,0.0,0,-18.0,2.724059422294848e-24,-18.0,2.724059422294848e-24,4.8893422634386425,0.2111343231967801,4.194538871221232,0.0426339378936596,4.064581911829986,0.0316081071431806,4.568611626266588,0.1008853728185115,4.199054530040144,0.0430795449341714,3.67074267956033,0.0127631906499014,3.218414793691389,0.0045043421350644,211134323196.205,55842735583.920746,100885372818.2367,11.324558840427576,10.74696668504314,11.00382820325552,-2.130962981599424,6.11440327279652,0.036248700639804,0.9455486074342486,5.378270560548272,0.05,0.0925,0.0489942157011731,1.935317219571573,0.2509380540893927,0.0660199105800665,0.4802460242005548,0.481665367957064,0.0463426853707414,0.3828303980050638,-0.810418525719086,0.4434666836793424,0.5736881060805099,0.5848128725991187,0.573476992548197,-0.7241014040196202,0.0348671365658512,0.6888116139283027,2.0,2000
ekez004,control,250911,immobile,1,18,138.0,140.0,100.0,150.0,LFP0_250911.dat,ekez004_250911,ekez004_250911_ch18,-186.99875,776.2655973946272,15436.0,0.0,0,-18.0,1.895502474911888e-24,-18.0,1.895502474911888e-24,5.287038503267972,0.3670818054611486,4.421878653128318,0.0500729304850205,4.138849235813367,0.0260959788446039,4.416225547760776,0.0494253670900119,4.342029543916178,0.0416633224340387,4.01809874028695,0.0197616451262605,3.610416865903329,0.0077293188237092,367081805460.4529,61424967560.1829,49425367089.91824,11.564762859077808,10.78834493579213,10.693949903570612,-1.7734432830060942,5.715670764579801,0.0411036067437907,0.8660487141001028,4.418325969463957,0.028,0.042,0.0607732259307168,1.81604046840164,0.2907847446978637,0.0797403538411608,0.3019533698825655,0.4013784088678738,0.0809118236472945,-0.3893040403785444,0.8117256782291814,-0.4353662681550038,0.5739529623363191,0.5834515267955092,0.5745975225349942,0.7204306775592223,-0.0261866221945121,-0.6930323943710003,2.0,2000
ekez004,control,250911,immobile,1,18,122.0,124.0,100.0,150.0,LFP0_250911.dat,ekez004_250911,ekez004_250911_ch18,-56.813675,696.8268870085269,4176.0,0.0,0,-18.0,2.2854900383216187e-24,-18.0,2.2854900383216187e-24,5.129589829544755,0.3080130819202795,4.440194946415722,0.0629758849637137,4.150804919112541,0.0323432942451741,4.566303739410623,0.0841943739740005,4.238159754346951,0.0395493260353016,3.870583998280724,0.0169653698162856,3.4702135847438416,0.0067482772554271,308013081919.5756,56514695851.4581,84194373973.80814,11.48856916223042,10.752161394674411,10.925283072096288,-1.981720994647547,6.000625695545774,0.0456870872058535,1.017583222951329,5.41977236324959,0.031,0.0485,0.0590890278674431,2.047652815302388,0.3343209951528597,0.0862349955424779,0.4757940457847098,0.4856601482805459,0.0693887775551102,-0.4898063166162478,0.8070036663639027,-0.3299012801991918,0.5743175462315703,0.5833614166577192,0.5743246587459458,0.6559337834656918,0.0918397518996265,-0.7492104722155172,2.0,2000
ekez004,control,250911,immobile,1,18,128.0,130.0,100.0,150.0,LFP0_250911.dat,ekez004_250911,ekez004_250911_ch18,60.084,774.0530426876442,4476.0,0.0,0,-18.0,1.878927246475228e-24,-18.0,1.878927246475228e-24,5.247193076554004,0.3319732122129592,4.326355421448618,0.0398350517460993,3.945398384147657,0.016569459747993,4.498448358793099,0.0592049914862286,4.285621310338065,0.036268640318609,3.8572368087856352,0.0135252958321251,3.5445020043769206,0.0065828198277364,331973212212.33545,49793936150.640594,59204991486.1174,11.521103040759058,10.6971764580878,10.772358322998151,-1.9716047211529597,5.988458485044697,0.0406434861368403,0.9392655231664628,5.081277491749647,0.0355,0.0545,0.0571461469793255,1.929221983862189,0.2865345827059715,0.0874138236484042,0.4359431065685241,0.4674791784351922,0.0784068136272545,-0.4886891216789227,0.8074478624439826,-0.3304707124486065,0.5746028494784473,0.5828989397618971,0.5745088262104466,0.6565169515878184,0.0908668006354772,-0.7488182134657987,2.0,2000
ekez004,control,250911,immobile,1,18,110.0,112.0,100.0,150.0,LFP0_250911.dat,ekez004_250911,ekez004_250911_ch18,-25.20705,758.2049782415686,4383.0,0.0,0,-18.0,2.190271070646441e-24,-18.0,2.190271070646441e-24,5.205914198116845,0.3518941646313838,4.1864881799004845,0.0336500758028133,3.869637029377326,0.0162231392661496,4.372205803729319,0.051606412648864,4.364988382066336,0.050755866808358,3.879247110574394,0.0165861266604227,3.417143550943861,0.0057232328812458,351894164630.61304,67341993468.63327,51606412648.751015,11.546412065102492,10.82828596829818,10.712703670714966,-1.8936749077894637,5.833959824393509,0.0417193521111269,0.8707320314641915,4.403071026399404,0.032,0.048,0.0604503709139853,1.8477853623398768,0.3007893471911989,0.0758876228426313,0.3269906754779081,0.419317695051653,0.064629258517034,-0.487740669263098,0.8039213832442593,-0.3403225662637426,0.5705512989496143,0.5886055177233136,0.5727257282247568,0.6607421999629766,0.0851701477449396,-0.7457652386101078,2.0,2000
